domain,ids,bandwidth,storage,incount,inbytes,outcount,outbytes,popcount,popbytes
agrowintl.in, 2, 149286 (145.79KB), 32768 (32.00KB), 0, 0, 2, 149286, 0, 0
alphaenter.net, 1, 1820274108 (1.70GB), 2022539862 (1.88GB), 465, 794074946, 257, 224977607, 1149, 801221555
bhavanssvvidyalaya.org, 2, 2891383 (2.76MB), 84602366 (80.68MB), 16, 397025, 7, 2002814, 18, 491544
bhavantirupati.org, 2, 208686456 (199.02MB), 623183623 (594.31MB), 615, 193627703, 25, 15058753, 0, 0
bullfreight.com, 1, 315342171 (300.73MB), 30369581 (28.96MB), 1389, 111882766, 336, 135805351, 510, 67654054
charirrfc.in, 1, 65860107 (62.81MB), 136851947 (130.51MB), 174, 65860107, 0, 0, 0, 0
congressmedia.net, 41, 25625655 (24.44MB), 2507553608 (2.34GB), 63, 25625655, 0, 0, 0, 0
edelcap.com, 1881, 64221786489 (59.81GB), 0, 449684, 64221786489, 0, 0, 0, 0
enmail.com, 34, 52524165 (50.09MB), 9970030832 (9.29GB), 1236, 36352473, 356, 9466098, 250, 6705594
giftville.in, 4, 51706277 (49.31MB), 407302292 (388.43MB), 548, 49086503, 30, 2619774, 0, 0
harshitaassociates.com, 2, 213505056 (203.61MB), 201697383 (192.35MB), 423, 62254283, 186, 37893335, 701, 113357438
harvishpromark.com, 3, 15183 (14.83KB), 93126 (90.94KB), 0, 0, 0, 0, 1, 15183
hisdom.org, 1, 724121 (707.15KB), 6955509 (6.63MB), 39, 724121, 0, 0, 0, 0
infobasesystemms.com, 4, 4680277561 (4.36GB), 2695930927 (2.51GB), 1121, 556543127, 2080, 819712184, 10636, 3304022250
itapagro.com, 29, 8141796962 (7.58GB), 3029400348 (2.82GB), 19529, 3019909793, 1490, 601427874, 79094, 4520459295
juseffex.com, 26, 1798969381 (1.68GB), 5053109364 (4.71GB), 5215, 723718238, 2371, 297296582, 4170, 777954561
kandhadai.com, 2, 30480 (29.77KB), 57864677 (55.18MB), 1, 30480, 0, 0, 0, 0
kinship-global.com, 1, 149670624 (142.74MB), 151428 (147.88KB), 1679, 71685413, 24, 3175808, 1693, 74809403
kllpl.org, 4, 3744266715 (3.49GB), 673141556 (641.96MB), 2400, 587095230, 5373, 2481144833, 3176, 676026652
lakshmicargo.net, 16, 520690340 (496.57MB), 1065005405 (1015.67MB), 1107, 175631798, 1006, 159831023, 1052, 185227519
learnyoga.org, 4, 183131239 (174.65MB), 575335538 (548.68MB), 424, 88763057, 16, 6990348, 437, 87377834
lfsindia.in, 3, 359819674 (343.15MB), 146449085 (139.66MB), 475, 127742829, 141, 31378977, 5787, 200697868
mahaagro.in, 15, 10618906112 (9.89GB), 4542074310 (4.23GB), 8228, 3654314664, 1275, 379481974, 42317, 6585109474
mfapartments.net, 1, 2644019 (2.52MB), 38352244 (36.58MB), 108, 2251391, 25, 392628, 0, 0
oops.co.in, 4, 6765251 (6.45MB), 317058760 (302.37MB), 27, 6556073, 0, 0, 9, 209178
pranaav.com, 19, 674978200 (643.71MB), 1287806206 (1.20GB), 5483, 315587065, 76, 57317318, 4763, 302073817
ptlinfotech.com, 5, 8750085 (8.34MB), 34037480 (32.46MB), 59, 5345594, 1, 18982, 19, 3385509
rosaonline.org, 15, 4576326359 (4.26GB), 775289099 (739.37MB), 3043, 1611047905, 26311, 562356026, 4628, 2402922428
seahorseindia.co.in, 1, 141611784 (135.05MB), 127865232 (121.94MB), 210, 34692100, 96, 71664990, 217, 35254694
sricomworld.com, 21, 521365193 (497.21MB), 2198859830 (2.05GB), 6087, 318981949, 244, 73723958, 2360, 128659286
tristarcontainer.co.in, 25, 7441414047 (6.93GB), 1582561323 (1.47GB), 19115, 2930864965, 3815, 702803920, 63049, 3807745162
vanmoppesindia.com, 26, 6279857257 (5.85GB), 15177763650 (14.14GB), 10114, 1980017927, 2207, 622340040, 48008, 3677499290
vimanindia.com, 8, 1309188816 (1.22GB), 341662627 (325.83MB), 5834, 579608431, 489, 35280068, 9051, 694300317
vtechsystems.com, 7, 319247012 (304.46MB), 5617211282 (5.23GB), 4278, 301761347, 17, 128414, 3223, 17357251
