domain,ids,bandwidth,storage,incount,inbytes,outcount,outbytes,popcount,popbytes
agrowintl.in, 1, 154829 (151.20KB), 1836989 (1.75MB), 8, 154829, 0, 0, 0, 0
alphaenter.net, 1, 206746506 (197.17MB), 2245278217 (2.09GB), 390, 159179222, 179, 28408322, 388, 19158962
bhavanssvvidyalaya.org, 2, 35579604 (33.93MB), 176048790 (167.89MB), 93, 3768331, 16, 24309004, 175, 7502269
bhavantirupati.org, 2, 944729559 (900.96MB), 632126563 (602.84MB), 1377, 830592648, 51, 114136911, 0, 0
bhumisagarexpo.com, 2, 437933898 (417.65MB), 19662801 (18.75MB), 281, 139378756, 501, 155543367, 286, 143011775
bullfreight.com, 1, 672622754 (641.46MB), 78960327 (75.30MB), 2723, 273690558, 617, 254028659, 929, 144903537
charirrfc.in, 1, 56223339 (53.62MB), 664066240 (633.30MB), 118, 56223339, 0, 0, 0, 0
congressmedia.net, 41, 21008720 (20.04MB), 2964272602 (2.76GB), 48, 21008720, 0, 0, 0, 0
enmail.com, 38, 67221832 (64.11MB), 11401830937 (10.62GB), 1147, 58990481, 297, 5868604, 99, 2362747
giftville.in, 4, 82807595 (78.97MB), 322715771 (307.77MB), 1094, 81559391, 47, 1248204, 0, 0
harshitaassociates.com, 2, 252490511 (240.79MB), 269720689 (257.23MB), 650, 89310066, 204, 79944832, 277, 83235613
hisdom.org, 1, 670078 (654.37KB), 5823991 (5.55MB), 21, 670078, 0, 0, 0, 0
infobasesystemms.com, 4, 11265506094 (10.49GB), 4900785773 (4.56GB), 1593, 513068178, 1484, 504975025, 44194, 10247462891
itapagro.com, 29, 9540269771 (8.89GB), 2867746067 (2.67GB), 17601, 3436798812, 3195, 387378508, 62196, 5716092451
juseffex.com, 28, 1077258780 (1.00GB), 9481989716 (8.83GB), 18226, 521377806, 1135, 116751084, 5905, 439129890
kandhadai.com, 2, 219227 (214.09KB), 61239777 (58.40MB), 4, 219227, 0, 0, 0, 0
kinship-global.com, 1, 191010318 (182.16MB), 164065 (160.22KB), 1048, 94496059, 14, 256548, 1043, 96257711
kllpl.org, 4, 423776247 (404.14MB), 4249851823 (3.96GB), 1411, 128016838, 978, 140204362, 3534, 155555047
lakshmicargo.net, 17, 1276233600 (1.19GB), 849003044 (809.67MB), 2390, 360151863, 2802, 385625509, 3112, 530456228
learnyoga.org, 3, 133053297 (126.89MB), 120223044 (114.65MB), 728, 43275917, 19, 43342591, 773, 46434789
lfsindia.in, 3, 267374464 (254.99MB), 146715774 (139.92MB), 441, 88702508, 51, 9542295, 1165, 169129661
mahaagro.in, 13, 18440367541 (17.17GB), 8503595678 (7.92GB), 26331, 10706171243, 2704, 1480896735, 27552, 6253299563
mindmatterz.in, 1, 2605127 (2.48MB), 14189073 (13.53MB), 3, 324559, 1, 2280568, 0, 0
oops.co.in, 4, 6880585 (6.56MB), 381013004 (363.36MB), 54, 6880585, 0, 0, 0, 0
pranaav.com, 10, 607549392 (579.40MB), 137378664 (131.01MB), 4056, 289775475, 11, 13942540, 3555, 303831377
ptlinfotech.com, 4, 7200876 (6.87MB), 20151150 (19.22MB), 117, 3624921, 0, 0, 110, 3575955
pushyaconsultancy.in, 2, 104446178 (99.61MB), 326747670 (311.61MB), 272, 46063895, 59, 14236202, 248, 44146081
renalo.net, 1, 15739355 (15.01MB), 2727540 (2.60MB), 146, 8276948, 0, 0, 126, 7462407
rosaonline.org, 17, 10505371948 (9.78GB), 969396425 (924.49MB), 3585, 2185797775, 1610, 138597753, 12573, 8180976420
seahorseindia.co.in, 1, 26402268 (25.18MB), 684148022 (652.45MB), 160, 7433101, 72, 11358816, 168, 7610351
sricomworld.com, 22, 1474360754 (1.37GB), 1812012075 (1.69GB), 3347, 638574145, 892, 272205841, 2833, 563580768
tristarcontainer.co.in, 25, 5522137139 (5.14GB), 1245259313 (1.16GB), 18250, 2332675656, 3248, 513097113, 39697, 2676364370
ucindia.net, 4, 407738 (398.18KB), 648247 (633.05KB), 14, 407738, 0, 0, 0, 0
vanmoppesindia.com, 27, 9313950944 (8.67GB), 21813594515 (20.32GB), 58743, 2408706738, 2140339, 3341920308, 50328, 3563323898
vimanindia.com, 4, 537559111 (512.66MB), 2029641522 (1.89GB), 3190, 294188147, 96, 11176461, 2231, 232194503
vtechsystems.com, 7, 491330603 (468.57MB), 4033726932 (3.76GB), 4452, 277609608, 44, 143366670, 3104, 70354325
