domain,ids,bandwidth,storage,incount,inbytes,outcount,outbytes,popcount,popbytes
agrowintl.in, 2, 5967911 (5.69MB), 7123078 (6.79MB), 20, 2889112, 4, 147044, 20, 2931755
alphaenter.net, 1, 243034278 (231.78MB), 2221227927 (2.07GB), 387, 189322183, 90, 26318664, 438, 27393431
bhavanssvvidyalaya.org, 2, 37208197 (35.48MB), 225700399 (215.24MB), 88, 6897058, 3, 279498, 168, 30031641
bhavantirupati.org, 2, 519519389 (495.45MB), 608210757 (580.03MB), 1321, 499485371, 55, 20034018, 0, 0
bhumisagarexpo.com, 2, 6966439016 (6.49GB), 53677 (52.42KB), 260, 292844989, 1527, 6357516750, 286, 316077277
bullfreight.com, 1, 316102663 (301.46MB), 32179324 (30.69MB), 1632, 147488796, 324, 126852645, 317, 41761222
charirrfc.in, 1, 57635702 (54.97MB), 453575766 (432.56MB), 136, 57632247, 2, 3455, 0, 0
congressmedia.net, 41, 26291873 (25.07MB), 2901466337 (2.70GB), 50, 26291873, 0, 0, 0, 0
cropinagro.com, 9, 26332604 (25.11MB), 299460501 (285.59MB), 124, 26332604, 0, 0, 0, 0
enmail.com, 36, 103211125 (98.43MB), 11063963559 (10.30GB), 1143, 87272793, 279, 12236475, 180, 3701857
giftville.in, 4, 62031699 (59.16MB), 317529372 (302.82MB), 751, 61084538, 17, 947161, 0, 0
harshitaassociates.com, 2, 316611746 (301.94MB), 220661534 (210.44MB), 757, 89488451, 321, 93459584, 367, 133663711
harvishpromark.com, 3, 175781 (171.66KB), 17187799 (16.39MB), 6, 175781, 0, 0, 0, 0
hisdom.org, 1, 371096 (362.40KB), 3823204 (3.65MB), 12, 371096, 0, 0, 0, 0
infobasesystemms.com, 4, 2233318581 (2.08GB), 3828806688 (3.57GB), 1485, 546930073, 2364, 574090769, 2948, 1112297739
itapagro.com, 29, 5757389122 (5.36GB), 2277042508 (2.12GB), 8844, 2144293312, 35984, 514008038, 13830, 3099087772
juseffex.com, 31, 1330563225 (1.24GB), 8372079967 (7.80GB), 16950, 565848361, 1450, 184579306, 7978, 580135558
kandhadai.com, 2, 209946 (205.03KB), 60994140 (58.17MB), 3, 209946, 0, 0, 0, 0
kinship-global.com, 1, 208473391 (198.82MB), 354939 (346.62KB), 904, 101800191, 46, 3322332, 905, 103350868
kllpl.org, 4, 9443650285 (8.80GB), 4153476320 (3.87GB), 1367, 200405347, 65771, 9019693126, 3485, 223551812
lakshmicargo.net, 17, 558110733 (532.26MB), 751326743 (716.52MB), 1748, 166266425, 1876, 166815734, 2241, 225028574
learnyoga.org, 3, 85003195 (81.07MB), 89020197 (84.90MB), 637, 28372081, 8, 7400289, 650, 49230825
lfsindia.in, 3, 273078146 (260.43MB), 146526257 (139.74MB), 426, 74794246, 79, 40431239, 1281, 157852661
mahaagro.in, 20, 9092400677 (8.47GB), 8173385650 (7.61GB), 11267, 2979895161, 8059, 3131331898, 18710, 2981173618
mfapartments.net, 1, 145321475 (138.59MB), 63850496 (60.89MB), 157, 78323839, 63, 66997636, 0, 0
oops.co.in, 4, 21837503 (20.83MB), 340930940 (325.14MB), 54, 21837503, 0, 0, 0, 0
pranaav.com, 10, 512893287 (489.13MB), 122386481 (116.72MB), 3849, 250984752, 65, 10402828, 3359, 251505707
ptlinfotech.com, 4, 2359168 (2.25MB), 19219742 (18.33MB), 45, 1149165, 0, 0, 47, 1210003
pushyaconsultancy.in, 2, 233133935 (222.33MB), 214092233 (204.17MB), 254, 87520608, 234, 54940389, 269, 90672938
renalo.net, 1, 14296304 (13.63MB), 75266 (73.50KB), 149, 7079661, 0, 0, 148, 7216643
rosaonline.org, 16, 4102015485 (3.82GB), 507522392 (484.01MB), 2599, 1063654787, 9707, 168408028, 7004, 2869952670
seahorseindia.co.in, 1, 38243884 (36.47MB), 644859882 (614.99MB), 222, 13314534, 101, 9899132, 247, 15030218
sricomworld.com, 22, 641284784 (611.58MB), 2076041978 (1.93GB), 3767, 347721441, 572, 53110545, 3108, 240452798
tristarcontainer.co.in, 25, 4588684161 (4.27GB), 914288525 (871.93MB), 15933, 1857470734, 2870, 360579266, 40908, 2370634161
ucindia.net, 3, 2724459 (2.60MB), 57575 (56.23KB), 2, 1329104, 0, 0, 7, 1395355
vanmoppesindia.com, 27, 4931856991 (4.59GB), 19912006661 (18.54GB), 10358, 1697956602, 2908, 702718403, 29949, 2531181986
vimanindia.com, 4, 697678229 (665.36MB), 1563738795 (1.46GB), 6545, 397018033, 167, 46603169, 3140, 254057027
vtechsystems.com, 7, 258141702 (246.18MB), 3935796971 (3.67GB), 3232, 203408789, 8, 3214015, 1970, 51518898
