domain,ids,bandwidth,storage,incount,inbytes,outcount,outbytes,popcount,popbytes,,
edelcap.com,2188,76237214094 (71.00GB),0,0442978,76237214094,0,0,0,0
juseffex.com,16,2834762690 (2.64GB),4121720712 (3.84GB),5231,1148041098,2887,664272805,4292,1022448787
ptlinfotech.com,6,6761085 (6.45MB),29987672 (28.60MB),114,3457532,5,50175,107,3253378
alphaenter.net,1,431195976 (411.22MB),2944720644 (2.74GB),329,174954682,130,74512805,751,181728489
kllpl.org,4,162336932 (154.82MB),65536 (64.00KB),167,34843472,701,92214060,161,35279400
bullfreight.com,1,245028831 (233.68MB),20665317 (19.71MB),1266,95073687,321,54536600,1262,95418544
kinship-global.com,7,369380289 (352.27MB),618263823 (589.62MB),1038,160038174,399,73033916,857,136308199
marsol.in,4,10584781 (10.09MB),1391556463 (1.30GB),226,10584781,0,0,0,0
enactmedicalservices.com,5,543472 (530.73KB),626226 (611.55KB),6,543472,0,0,0,0
srimarine.com,2,274537612 (261.82MB),17183716 (16.39MB),820,157760851,16,6126806,489,110649955
pranaav.com,20,1121943974 (1.04GB),1604497484 (1.49GB),4797,497525492,266,123287532,4592,501130950
lakshmicargo.net,16,335355892 (319.82MB),599675741 (571.90MB),1078,109242187,1152,138213148,1043,87900557
bhavantirupati.org,2,544068849 (518.86MB),1178728591 (1.10GB),785,268509679,40,12471837,737,263087333
mfapartments.net,2,7140989 (6.81MB),29632066 (28.26MB),29,6627797,19,513192,0,0
itapagro.com,20,2580729734 (2.40GB),1996653760 (1.86GB),6856,874090376,328,95317684,15662,1611321674
infotronics-healthcare.com,3,8526229 (8.13MB),5202533 (4.96MB),163,5029572,0,0,126,3496657
harvishpromark.com,3,39041321 (37.23MB),58979 (57.60KB),9,10693110,12,17512719,9,10835492
lfsindia.in,3,613840677 (585.40MB),147472757 (140.64MB),478,227832471,78,19110982,5720,366897224
infotronics-uk.com,16,259170092 (247.16MB),23366655 (22.28MB),990,92000549,13,289990,3992,166879553
mahaagro.in,13,6477225261 (6.03GB),3702412175 (3.45GB),7257,1585581747,1415,263174416,50417,4628469098
sricomworld.com,20,817910152 (780.02MB),451513273 (430.60MB),5078,412472027,341,45487737,7076,359950388
harshitaassociates.com,2,158466516 (151.13MB),157389557 (150.10MB),628,46868055,181,24846231,1084,86752230
seahorseindia.co.in,1,7375096 (7.03MB),12746164 (12.16MB),134,2507137,17,2273482,138,2594477
rosaonline.org,3,6452871701 (6.01GB),883887366 (842.94MB),2069,2064739933,957,131076191,3370,4257055577
vanmoppesindia.com,32,5426681959 (5.05GB),14498621665 (13.50GB),15095,1769429472,1976,242035521,77176,3415216966
learnyoga.org,4,132845972 (126.69MB),14204934 (13.55MB),325,66552011,10,1061241,262,65232720
infobasesystemms.com,4,1487801647 (1.39GB),7338542933 (6.83GB),602,470966031,324,90560840,1157,926274776
tristarcontainer.co.in,23,5118121483 (4.77GB),2155634769 (2.01GB),16288,2193661884,3900,555495974,30173,2368963625
vimanindia.com,17,2687343166 (2.50GB),26455472 (25.23MB),9257,1143468003,1025,250161158,11227,1293714005
oops.co.in,4,11005701 (10.50MB),317058760 (302.37MB),39,10838265,2,6539,11,160897
charirrfc.in,1,64040957 (61.07MB),107563874 (102.58MB),271,63854612,41,186345,0,0
vinshatech.com,5,33948 (33.15KB),472392225 (450.51MB),4,33948,0,0,0,0
giftville.in,4,59935843 (57.16MB),220483603 (210.27MB),405,45107574,19,14828269,0,0
kandhadai.com,2,270912 (264.56KB),47471115 (45.27MB),5,270912,0,0,0,0
vtechsystems.com,6,300697061 (286.77MB),4601517545 (4.29GB),3986,281235229,20,9130967,521,10330865
enmail.com,34,160967888 (153.51MB),8413380134 (7.84GB),1398,98072756,295,7501076,190,55394056
congressmedia.net,41,25897563 (24.70MB),2205060383 (2.05GB),68,25897563,0,0,0,0
