domain,ids,bandwidth,storage,incount,inbytes,outcount,outbytes,popcount,popbytes
agrowintl.in, 2, 59027, (57.64KB), 32768, (32.00KB), 2, 5503, 4, 53524, 0, 0
alphaenter.net, 1, 715721146, (682.56MB), 4600565647, (4.28GB), 583, 341463517, 352, 107478929, 1330, 266778700
bhavanssvvidyalaya.org, 2, 59695, (58.30KB), 92124, (89.96KB), 2, 4650, 1, 49233, 3, 5812
bhavantirupati.org, 2, 255834451, (243.98MB), 1544649639, (1.44GB), 590, 224483948, 20, 31350503, 0, 0
bullfreight.com, 1, 110094444, (104.99MB), 23465169, (22.38MB), 1182, 48449333, 121, 37749586, 507, 23895525
charirrfc.in, 1, 87083556, (83.05MB), 121887724, (116.24MB), 206, 86996969, 2, 86587, 0, 0
congressmedia.net, 41, 21319284, (20.33MB), 2301487880, (2.14GB), 65, 21319284, 0, 0, 0, 0
edelcap.com, 2156, 77207170701, (77.84GB), 0, 526504,	77207170701, 0, 0, 0, 0
enmail.com, 33, 69017381, (65.82MB), 9141824019, (8.51GB), 1381, 53120982, 376, 9307677, 227, 6588722
giftville.in, 4, 48809817, (46.55MB), 225621060, (215.17MB), 331, 46040207, 42, 2769610, 0, 0
harshitaassociates.com, 2, 196839961, (187.72MB), 162883417, (155.34MB), 509, 46804782, 328, 70869654, 789, 79165525
harvishpromark.com, 3, 25659, (25.06KB), 56184, (54.87KB), 1, 2303, 2, 20909, 1, 2447
hisdom.org, 1, 668240, (652.58KB), 1136948, (1.08MB), 39, 667334, 1, 906, 0, 0
infobasesystemms.com, 4, 1498272329, (1.40GB), 5270038700, (4.91GB), 758, 367976898, 1167, 292123135, 1684, 838172296
itapagro.com, 24, 2236209977, (2.08GB), 2872489635, (2.68GB), 10789, 986400988, 251, 125110613, 13768, 1124698376
juseffex.com, 20, 4946300366, (4.61GB), 5121538301, (4.77GB), 2450, 725693709, 832, 182581541, 15965, 4038025116
kandhadai.com, 2, 25687, (25.08KB), 48327349, (46.09MB), 2, 25687, 0, 0, 0, 0
kinship-global.com, 6, 228865549, (218.26MB), 134517, (131.36KB), 949, 103370132, 132, 34579734, 771, 90915683
kllpl.org, 2, 4777405179, (4.45GB), 62696576, (59.79MB), 878, 480394948, 4415, 3772440594, 1030, 524569637
lakshmicargo.net, 16, 410222156, (391.22MB), 952202089, (908.09MB), 1433, 145680762, 1625, 139765638, 1177, 124775756
learnyoga.org, 4, 75171985, (71.69MB), 91474548, (87.24MB), 412, 29525158, 15, 12169516, 427, 33477311
lfsindia.in, 3, 643216512, (613.42MB), 145003563, (138.29MB), 494, 230976367, 138, 61831500, 5159, 350408645
mahaagro.in, 15, 6304979041, (5.87GB), 2834835828, (2.64GB), 7090, 1715546353, 2993, 348983386, 46303, 4240449302
mfapartments.net, 2, 2565875, (2.45MB), 28945295, (27.60MB), 29, 2547357, 14, 18518, 0, 0
oops.co.in, 4, 16051270, (15.31MB), 317058760, (302.37MB), 50, 14166980, 10, 46515, 19, 1837775
pranaav.com, 20, 713473782, (680.42MB), 1582690096, (1.47GB), 3480, 366921914, 850, 35745503, 2969, 310806365
ptlinfotech.com, 6, 6551067, (6.25MB), 27986231, (26.69MB), 23, 1521598, 3, 3645267, 19, 1384202
rosaonline.org, 2, 5267554143, (4.91GB), 376152793, (358.73MB), 3208, 1447558704, 10884, 762757596, 6814, 3057237843
seahorseindia.co.in, 1, 12015164, (11.46MB), 36899512, (35.19MB), 144, 5881124, 7, 172166, 143, 5961874
sricomworld.com, 20, 729957773, (696.14MB), 850017306, (810.64MB), 5920, 362457224, 247, 75267856, 5983, 292232693
srimarine.com, 2, 347838662, (331.72MB), 1196823, (1.14MB), 1050, 248014657, 94, 4956107, 446, 94867898
tristarcontainer.co.in, 22, 6907889699, (6.43GB), 3679443230, (3.43GB), 18234, 2615646046, 4083, 872087881, 75027, 3420155772
vanmoppesindia.com, 32, 7690650578, (7.16GB), 16634735640, (15.49GB), 15144, 1626281745, 2840, 306574994, 88259, 5757793839
vimanindia.com, 22, 3239169977, (3.02GB), 65699150, (62.66MB), 13383, 1426902082, 963, 143299476, 16369, 1668968419
vinshatech.com, 5, 10119370, (9.65MB), 506868361, (483.39MB), 51, 10119370, 0, 0, 0, 0
vtechsystems.com, 6, 307297814, (293.06MB), 5025249270, (4.68GB), 5135, 285173137, 943, 9847766, 1234, 12276911
