domain,ids,bandwidth,storage,incount,inbytes,outcount,outbytes,popcount,popbytes
alphaenter.net, 1, 350280661 (334.05MB), 2747087765 (2.56GB), 350, 157858109, 120, 43235021, 1225, 149187531
asvintaglobal.com, 7, 58687 (57.31KB), 6155404 (5.87MB), 3, 28979, 0, 0, 3, 29708
bhavantirupati.org, 2, 531802041 (507.17MB), 1160476033 (1.08GB), 944, 273982084, 25, 120868776, 350, 136951181
bullfreight.com, 1, 323667709 (308.67MB), 19312615 (18.42MB), 1471, 95462841, 495, 132368532, 1434, 95836336
charirrfc.in, 1, 155053425 (147.87MB), 110631285 (105.51MB), 319, 155017048, 26, 36377, 0, 0
congressmedia.net, 41, 28778089 (27.44MB), 2178233103 (2.03GB), 62, 28752971, 2, 25118, 0, 0
edelcap.com, 2186, 87214527826 (81.23GB), 0, 483560, 87214527826, 0, 0, 0, 0
enmail.com, 34, 98132460 (93.59MB), 8258736488 (7.69GB), 1715, 83978500, 354, 7899704, 258, 6254256
giftville.in, 4, 64761227 (61.76MB), 229619186 (218.98MB), 419, 63202456, 24, 1558771, 0, 0
harshitaassociates.com, 3, 139923467 (133.44MB), 171006096 (163.08MB), 599, 46255167, 119, 28851350, 929, 64816950
harvishpromark.com, 3, 25271680 (24.10MB), 56184 (54.87KB), 56, 8448622, 46, 8241095, 56, 8581963
infobasesystemms.com, 4, 1142835330 (1.06GB), 6859065772 (6.39GB), 496, 348304749, 312, 85239209, 996, 709291372
itapagro.com, 20, 2007126393 (1.87GB), 2783988265 (2.59GB), 6555, 728106372, 456, 189669181, 9321, 1089350840
juseffex.com, 16, 2119040771 (1.97GB), 3437964314 (3.20GB), 6435, 875399604, 4218, 421321305, 6367, 822319862
kandhadai.com, 2, 1246743 (1.19MB), 47199687 (45.01MB), 15, 1246743, 0, 0, 0, 0
kinship-global.com, 7, 431201916 (411.23MB), 576647005 (549.93MB), 1351, 193548847, 729, 87906672, 1102, 149746397
kllpl.org, 3, 172365803 (164.38MB), 6171277 (5.89MB), 185, 34527287, 587, 102992035, 181, 34846481
lakshmicargo.net, 16, 241678415 (230.48MB), 551039159 (525.51MB), 1037, 108302475, 1031, 84413062, 666, 48962878
learnyoga.org, 4, 87608212 (83.55MB), 15025768 (14.33MB), 220, 28693764, 10, 29485676, 231, 29428772
lfsindia.in, 3, 723415056 (689.90MB), 145181034 (138.46MB), 461, 262730561, 92, 28820087, 4739, 431864408
mahaagro.in, 13, 6978359222 (6.50GB), 3457564265 (3.22GB), 5994, 1791515486, 1454, 337643987, 46211, 4849199749
marsol.in, 4, 14770231 (14.09MB), 1380893116 (1.29GB), 235, 14770231, 0, 0, 0, 0
mfapartments.net, 2, 10605314 (10.11MB), 22999783 (21.93MB), 25, 5251803, 10, 5353511, 0, 0
oops.co.in, 4, 2969477 (2.83MB), 317072760 (302.38MB), 29, 2580670, 0, 0, 6, 388807
pranaav.com, 19, 935038987 (891.72MB), 1547025018 (1.44GB), 4548, 394544483, 344, 167689933, 4336, 372804571
ptlinfotech.com, 6, 14165037 (13.51MB), 29747256 (28.37MB), 101, 7090364, 3, 10047, 96, 7064626
rosaonline.org, 3, 5384871402 (5.02GB), 1143082601 (1.06GB), 2134, 1752315324, 556, 162253728, 3380, 3470302350
seahorseindia.co.in, 1, 7187814 (6.85MB), 10185616 (9.71MB), 145, 3370654, 15, 169327, 140, 3647833
sricomworld.com, 20, 697365587 (665.06MB), 389341644 (371.31MB), 5516, 348530938, 327, 53870560, 8274, 294964089
srimarine.com, 2, 319983686 (305.16MB), 98594341 (94.03MB), 1101, 189560220, 8, 2103673, 384, 128319793
tristarcontainer.co.in, 23, 3950013133 (3.68GB), 1902798109 (1.77GB), 14828, 1541787138, 3283, 561159100, 39785, 1847066895
vanmoppesindia.com, 32, 5283038056 (4.92GB), 13711064108 (12.77GB), 15748, 1754350916, 2281, 251949089, 65225, 3276738051
vimanindia.com, 19, 2407565414 (2.24GB), 677661224 (646.27MB), 8130, 1117692277, 662, 61610716, 9886, 1228262421
vtechsystems.com, 6, 585337991 (558.22MB), 4841834382 (4.51GB), 4037, 571722021, 35, 13615970, 0, 0
