domain,ids,bandwidth,storage,incount,inbytes,outcount,outbytes,popcount,popbytes
agrowintl.in, 2, 71679 (70.00KB), 32768 (32.00KB), 0, 0, 1, 71679, 0, 0
alphaenter.net, 1, 937161485 (893.75MB), 2127683383 (1.98GB), 508, 406759355, 483, 105230059, 1051, 425172071
bhavanssvvidyalaya.org, 2, 12208020 (11.64MB), 93277345 (88.96MB), 22, 694217, 13, 7694692, 17, 3819111
bhavantirupati.org, 2, 300013539 (286.12MB), 669538376 (638.52MB), 745, 276282538, 96, 23731001, 0, 0
bullfreight.com, 1, 381402812 (363.73MB), 30170621 (28.77MB), 1867, 152885221, 419, 140335434, 639, 88182157
charirrfc.in, 1, 107301928 (102.33MB), 140100511 (133.61MB), 231, 107299082, 1, 2846, 0, 0
congressmedia.net, 41, 30271188 (28.87MB), 2537843121 (2.36GB), 65, 30271188, 0, 0, 0, 0
edelcap.com, 2142, 56858285071 (52.96GB), 0, 462872, 56858285071, 0, 0, 0, 0
enmail.com, 33, 97000494 (92.51MB), 9933658751 (9.25GB), 1366, 52508369, 230, 30720453, 806, 13771672
giftville.in, 4, 64056594 (61.09MB), 415295488 (396.06MB), 676, 62269388, 18, 1787206, 0, 0
harshitaassociates.com, 2, 149858744 (142.92MB), 188420806 (179.69MB), 538, 41386231, 99, 49664493, 509, 58808020
harvishpromark.com, 3, 7925 (7.74KB), 93126 (90.94KB), 1, 3848, 0, 0, 1, 4077
hisdom.org, 1, 767334 (749.35KB), 7732688 (7.37MB), 40, 767334, 0, 0, 0, 0
infobasesystemms.com, 4, 2326504335 (2.17GB), 3219837131 (3.00GB), 1236, 522965469, 2141, 655229253, 2528, 1148309613
itapagro.com, 30, 8898688985 (8.29GB), 3148895631 (2.93GB), 26127, 2727022768, 4206, 586970257, 201500, 5584695960
juseffex.com, 27, 2717973057 (2.53GB), 5500233572 (5.12GB), 7329, 1109896583, 2010, 351980739, 6007, 1256095735
kandhadai.com, 2, 43646 (42.62KB), 57908621 (55.23MB), 3, 43646, 0, 0, 0, 0
kinship-global.com, 1, 204571276 (195.09MB), 134517 (131.36KB), 1410, 100525147, 12, 1361813, 1412, 102684316
kllpl.org, 4, 3478126214 (3.24GB), 1025520049 (978.01MB), 2982, 688314729, 4657, 2009982950, 3831, 779828535
lakshmicargo.net, 16, 488385313 (465.76MB), 1178862110 (1.10GB), 1013, 163453718, 806, 213616010, 995, 111315585
learnyoga.org, 4, 133651635 (127.46MB), 628761149 (599.63MB), 466, 56113498, 38, 27938178, 456, 49599959
lfsindia.in, 3, 817735846 (779.85MB), 145156597 (138.43MB), 709, 303955375, 130, 42266060, 6524, 471514411
mahaagro.in, 15, 10127213220 (9.43GB), 3385752765 (3.15GB), 9746, 4259857867, 1891, 447238511, 59148, 5420116842
mfapartments.net, 1, 3358801 (3.20MB), 39586397 (37.75MB), 106, 2375145, 47, 983656, 0, 0
oops.co.in, 4, 2699241 (2.57MB), 317058760 (302.37MB), 42, 2527008, 0, 0, 6, 172233
pranaav.com, 16, 969569674 (924.65MB), 1097056140 (1.02GB), 5989, 430511322, 121, 108773068, 5015, 430285284
ptlinfotech.com, 4, 10465347 (9.98MB), 19266540 (18.37MB), 52, 1400369, 4, 813817, 172, 8251161
rosaonline.org, 15, 7313784748 (6.81GB), 758600049 (723.46MB), 3477, 2220328061, 29786, 823658137, 5762, 4269798550
seahorseindia.co.in, 1, 88114436 (84.03MB), 149051040 (142.15MB), 293, 21137588, 146, 45494231, 292, 21482617
sricomworld.com, 21, 914996776 (872.61MB), 2443875252 (2.28GB), 5694, 523220472, 323, 120674815, 3461, 271101489
tristarcontainer.co.in, 25, 6839285988 (6.37GB), 1240321734 (1.16GB), 19624, 2246903657, 3798, 520341361, 138848, 4072040970
vanmoppesindia.com, 26, 8709693625 (8.11GB), 16515362358 (15.38GB), 12554, 3317984636, 2483, 771231769, 52148, 4620477220
vimanindia.com, 6, 1980654344 (1.84GB), 194696873 (185.68MB), 5747, 641335142, 398, 80966448, 14356, 1258352754
vtechsystems.com, 7, 503966615 (480.62MB), 5527130853 (5.15GB), 5224, 443580780, 97, 40777158, 3547, 19608677
