domain,ids,bandwidth,storage,incount,inbytes,outcount,outbytes,popcount,popbytes
agrowintl.in, 2, 32281 (31.52KB), 32768 (32.00KB), 0, 0, 2, 32281, 0, 0
alphaenter.net, 1, 773569814 (737.73MB), 3354623427 (3.12GB), 496, 331761680, 189, 93783115, 1009, 348025019
bhavanssvvidyalaya.org, 2, 14903747 (14.21MB), 28197798 (26.89MB), 11, 761455, 18, 14098097, 5, 44195
bhavantirupati.org, 2, 487135522 (464.57MB), 1250392287 (1.16GB), 715, 435553729, 21, 49247737, 10, 2334056
bullfreight.com, 1, 447296304 (426.57MB), 24591330 (23.45MB), 1562, 159905103, 565, 167776554, 821, 119614647
charirrfc.in, 1, 89916717 (85.75MB), 148375409 (141.50MB), 161, 89916717, 0, 0, 0, 0
congressmedia.net, 41, 29638622 (28.27MB), 2402488845 (2.24GB), 83, 29638622, 0, 0, 0, 0
edelcap.com, 2147, 66978601875 (62.30GB), 0, 547397, 66978601875, 0, 0, 0, 0
enmail.com, 34, 111757617 (106.58MB), 9514543957 (8.86GB), 3188, 85064813, 388, 11117303, 205, 15575501
giftville.in, 4, 65842796 (62.79MB), 272110255 (259.50MB), 519, 62808124, 40, 3034672, 0, 0
harshitaassociates.com, 2, 305580401 (291.42MB), 180280412 (171.93MB), 574, 74909647, 350, 78879874, 983, 151790880
hisdom.org, 1, 579251 (565.67KB), 3766614 (3.59MB), 33, 579251, 0, 0, 0, 0
infobasesystemms.com, 4, 1876900706 (1.75GB), 2543484331 (2.37GB), 818, 507570068, 1598, 363785581, 1607, 1005545057
itapagro.com, 25, 3357155826 (3.13GB), 3830249109 (3.57GB), 16194, 1442544455, 342, 122498456, 39258, 1792112915
juseffex.com, 22, 1576829003 (1.47GB), 3654108831 (3.40GB), 2628, 624389210, 1229, 372708716, 3027, 579731077
kandhadai.com, 2, 22886383 (21.83MB), 48890534 (46.63MB), 11, 190373, 0, 0, 935, 22696010
kinship-global.com, 1, 133604652 (127.42MB), 457784 (447.05KB), 524, 66016513, 2, 648713, 519, 66939426
kllpl.org, 4, 6008278157 (5.60GB), 170478 (166.48KB), 1379, 754348013, 3900, 4120648968, 2371, 1133281176
lakshmicargo.net, 16, 433462335 (413.38MB), 1090199247 (1.02GB), 1463, 164589958, 1339, 132216406, 1350, 136655971
learnyoga.org, 4, 162595218 (155.06MB), 284784562 (271.59MB), 429, 83135719, 12, 1102917, 384, 78356582
lfsindia.in, 3, 459013512 (437.75MB), 145021673 (138.30MB), 388, 164403456, 102, 27191881, 4222, 267418175
mahaagro.in, 15, 8436718244 (7.86GB), 3958007740 (3.69GB), 11693, 3277451254, 14763, 480748550, 86528, 4678518440
mfapartments.net, 1, 11718805 (11.18MB), 36619783 (34.92MB), 45, 7707915, 6, 4010890, 0, 0
oops.co.in, 4, 3086309 (2.94MB), 317058760 (302.37MB), 29, 3082684, 2, 3625, 0, 0
pranaav.com, 19, 1041605577 (993.35MB), 1250359943 (1.16GB), 3826, 298778012, 256, 51081620, 4981, 691745945
ptlinfotech.com, 6, 5953546 (5.68MB), 28928758 (27.59MB), 83, 3413990, 0, 0, 31, 2539556
rosaonline.org, 3, 8206002029 (7.64GB), 864879673 (824.81MB), 3042, 2788666085, 5229, 293985615, 5461, 5123350329
seahorseindia.co.in, 1, 26234380 (25.02MB), 48858682 (46.60MB), 139, 4856027, 19, 16543923, 158, 4834430
sricomworld.com, 20, 789971437 (753.38MB), 1341264143 (1.25GB), 5405, 359251704, 297, 266047573, 2170, 164672160
srimarine.com, 2, 155559988 (148.35MB), 1289906 (1.23MB), 533, 92388993, 5, 16826108, 338, 46344887
tristarcontainer.co.in, 26, 7481021343 (6.97GB), 4539174330 (4.23GB), 18610, 3001950686, 4208, 1011511555, 35173, 3467559102
vanmoppesindia.com, 21, 5726707405 (5.33GB), 15329856633 (14.28GB), 13271, 1787026623, 53221, 629789726, 57239, 3309891056
vimanindia.com, 23, 2976304731 (2.77GB), 93489557 (89.16MB), 13283, 1179721316, 1418, 295880384, 16744, 1500703031
vinshatech.com, 5, 1962400 (1.87MB), 511131288 (487.45MB), 56, 1962400, 0, 0, 0, 0
vtechsystems.com, 7, 347288434 (331.20MB), 5168810955 (4.81GB), 4718, 299742587, 450, 19799503, 5020, 27746344
