domain,ids,bandwidth,storage,incount,inbytes,outcount,outbytes,popcount,popbytes
alphaenter.net, 1, 600632127 (572.81MB), 3669778492 (3.42GB), 418, 269835786, 255, 58394378, 848, 272401963
bhavanssvvidyalaya.org, 2, 21383998 (20.39MB), 81886756 (78.09MB), 15, 3961418, 5, 8370839, 15, 9051741
bhavantirupati.org, 2, 309687147 (295.34MB), 583154549 (556.14MB), 740, 309139314, 18, 547833, 0, 0
bullfreight.com, 1, 221650156 (211.38MB), 29249067 (27.89MB), 1540, 111192580, 239, 58985363, 467, 51472213
charirrfc.in, 1, 111276422 (106.12MB), 143551897 (136.90MB), 211, 111276422, 0, 0, 0, 0
congressmedia.net, 41, 10851431 (10.35MB), 2481914034 (2.31GB), 59, 10851431, 0, 0, 0, 0
edelcap.com, 2174, 61272547523 (57.07GB), 0, 479230, 61272547523, 0, 0, 0, 0
enmail.com, 34, 149264787 (142.35MB), 9918476104 (9.24GB), 1202, 68137762, 270, 24183147, 1475, 56943878
giftville.in, 4, 64526511 (61.54MB), 392809555 (374.61MB), 671, 59269876, 19, 5256635, 0, 0
harshitaassociates.com, 2, 222868243 (212.54MB), 229153967 (218.54MB), 424, 67880666, 205, 63059024, 736, 91928553
harvishpromark.com, 3, 29602 (28.91KB), 108061 (105.53KB), 2, 29602, 0, 0, 0, 0
hisdom.org, 1, 514388 (502.33KB), 6371025 (6.08MB), 27, 514388, 0, 0, 0, 0
infobasesystemms.com, 4, 4241438746 (3.95GB), 2142006392 (1.99GB), 903, 445487720, 1290, 338901161, 12498, 3457049865
itapagro.com, 29, 7800471119 (7.26GB), 3083448052 (2.87GB), 21546, 3141767671, 501, 214003155, 81817, 4444700293
juseffex.com, 26, 2974524065 (2.77GB), 4868051739 (4.53GB), 6409, 997865211, 3741, 406638496, 7788, 1570020358
kandhadai.com, 2, 8393298 (8.00MB), 57834110 (55.15MB), 8, 8393298, 0, 0, 0, 0
kinship-global.com, 1, 176115712 (167.96MB), 149662 (146.15KB), 1965, 77425095, 72, 18425595, 1976, 80265022
kllpl.org, 4, 3138204804 (2.92GB), 399862820 (381.34MB), 2224, 576522325, 4677, 1841220089, 3014, 720462390
lakshmicargo.net, 16, 896337334 (854.81MB), 1070828158 (1021.22MB), 1307, 346008391, 1151, 266079193, 1288, 284249750
learnyoga.org, 4, 116102768 (110.72MB), 491614497 (468.84MB), 501, 46864037, 39, 8455784, 658, 60782947
lfsindia.in, 3, 434886691 (414.74MB), 145340758 (138.61MB), 432, 155371590, 75, 24872186, 5571, 254642915
mahaagro.in, 15, 9386648758 (8.74GB), 5756150398 (5.36GB), 7586, 4671571836, 939, 245381298, 39350, 4469695624
mfapartments.net, 1, 2313231 (2.21MB), 36973333 (35.26MB), 78, 2134938, 12, 178293, 0, 0
oops.co.in, 4, 35606506 (33.96MB), 317058760 (302.37MB), 39, 18442871, 0, 0, 22, 17163635
pranaav.com, 19, 712523122 (679.52MB), 1261540988 (1.17GB), 5949, 291085242, 88, 28942277, 7044, 392495603
ptlinfotech.com, 6, 4331620 (4.13MB), 33094979 (31.56MB), 32, 1410256, 1, 2642408, 18, 278956
rosaonline.org, 4, 6232587173 (5.80GB), 496165827 (473.18MB), 3385, 2170380921, 19226, 181766622, 5606, 3880439630
seahorseindia.co.in, 1, 64416155 (61.43MB), 93156710 (88.84MB), 179, 21424195, 55, 21239684, 182, 21752276
sricomworld.com, 20, 12495621215 (11.64GB), 2065464117 (1.92GB), 6768, 387048466, 119936, 11960070545, 3695, 148502204
tristarcontainer.co.in, 25, 7063905491 (6.58GB), 1286459938 (1.20GB), 18995, 2575881008, 4632, 770369690, 60399, 3717654793
vanmoppesindia.com, 26, 6212722757 (5.79GB), 14432709972 (13.44GB), 11231, 2088378384, 2196, 543117398, 55023, 3581226975
vimanindia.com, 8, 1717227645 (1.60GB), 77561208 (73.97MB), 9869, 666388644, 511, 52127752, 12200, 998711249
vtechsystems.com, 7, 550713030 (525.20MB), 5490603131 (5.11GB), 4969, 483590509, 32, 51453237, 3102, 15669284
