domain,ids,bandwidth,storage,incount,inbytes,outcount,outbytes,popcount,popbytes
agrowintl.in, 2, 8194288 (7.81MB), 32768 (32.00KB), 14, 2964111, 9, 715607, 18, 4514570
alphaenter.net, 1, 666734112 (635.85MB), 1570575614 (1.46GB), 409, 280068458, 229, 99255601, 858, 287410053
bhavanssvvidyalaya.org, 2, 124035383 (118.29MB), 204508200 (195.03MB), 20, 61554955, 3, 243134, 20, 62237294
bhavantirupati.org, 2, 682288568 (650.68MB), 1229297319 (1.14GB), 762, 496010025, 62, 186278543, 0, 0
bhumisagarexpo.com, 2, 47801806 (45.59MB), 44827 (43.78KB), 36, 6735163, 49, 32824776, 39, 8241867
bullfreight.com, 1, 276984367 (264.15MB), 30139719 (28.74MB), 1696, 132260928, 370, 86144180, 402, 58579259
cagp.ae, 3, 1914747609 (1.78GB), 722015341 (688.57MB), 207, 466457270, 111, 228477040, 656, 1219813299
charirrfc.in, 1, 74720124 (71.26MB), 180751464 (172.38MB), 111, 74720124, 0, 0, 0, 0
congressmedia.net, 41, 26221475 (25.01MB), 2614566507 (2.44GB), 52, 26221475, 0, 0, 0, 0
enmail.com, 34, 98215343 (93.67MB), 10144372942 (9.45GB), 1375, 65223561, 408, 20125563, 382, 12866219
giftville.in, 4, 76830191 (73.27MB), 527403309 (502.97MB), 645, 62439570, 31, 14390621, 0, 0
harshitaassociates.com, 2, 279377240 (266.43MB), 118249513 (112.77MB), 674, 77109628, 148, 28022174, 756, 174245438
hisdom.org, 1, 491303 (479.79KB), 9468143 (9.03MB), 23, 491303, 0, 0, 0, 0
infobasesystemms.com, 4, 2634777173 (2.45GB), 3306578162 (3.08GB), 1266, 566997590, 1834, 929481417, 2514, 1138298166
itapagro.com, 30, 8528198433 (7.94GB), 2691907578 (2.51GB), 10725, 2618571986, 3071, 566661904, 35060, 5342964543
juseffex.com, 29, 1670653383 (1.56GB), 6227170298 (5.80GB), 6314, 697283088, 2409, 370732365, 3890, 602637930
kandhadai.com, 2, 309724 (302.46KB), 59149199 (56.41MB), 10, 306004, 3, 3720, 0, 0
kinship-global.com, 1, 146806743 (140.01MB), 217013 (211.93KB), 1309, 72143789, 3, 21057, 1324, 74641897
kllpl.org, 5, 10455206126 (9.74GB), 2104571466 (1.96GB), 2343, 1218838999, 5691, 7662119774, 4134, 1574247353
lakshmicargo.net, 16, 720448439 (687.07MB), 1054144325 (1005.31MB), 1273, 317178713, 1338, 158747544, 1318, 244522182
learnyoga.org, 3, 100078432 (95.44MB), 731538945 (697.65MB), 542, 39139214, 9, 10079627, 552, 50859591
lfsindia.in, 3, 359465632 (342.81MB), 145192360 (138.47MB), 499, 113387023, 46, 6985412, 6942, 239093197
mahaagro.in, 16, 12492407226 (11.63GB), 4176359169 (3.89GB), 12914, 5353917864, 7069, 772689699, 85683, 6365799663
mfapartments.net, 1, 17621302 (16.80MB), 21010820 (20.04MB), 150, 16868978, 35, 752324, 0, 0
oops.co.in, 4, 3727212 (3.55MB), 317058760 (302.37MB), 36, 3692995, 0, 0, 5, 34217
pranaav.com, 15, 761865459 (726.57MB), 1108849793 (1.03GB), 8061, 383645565, 117, 14163801, 5109, 364056093
ptlinfotech.com, 4, 19081576 (18.20MB), 19219514 (18.33MB), 79, 9420254, 0, 0, 78, 9661322
renalo.net, 1, 2720 (2.66KB), 16384 (16.00KB), 2, 1274, 0, 0, 2, 1446
rosaonline.org, 15, 8385902399 (7.81GB), 1215894401 (1.13GB), 2884, 2508776917, 15989, 1355095955, 5379, 4522029527
seahorseindia.co.in, 1, 66046153 (62.99MB), 327835828 (312.65MB), 255, 29528548, 114, 6510652, 260, 30006953
sricomworld.com, 21, 582720604 (555.73MB), 2667153927 (2.48GB), 5755, 349855989, 228, 36108252, 3876, 196756363
tristarcontainer.co.in, 25, 7298382847 (6.80GB), 1303009960 (1.21GB), 17382, 2185659421, 3566, 899793504, 160899, 4212929922
vanmoppesindia.com, 26, 7080608645 (6.59GB), 17864113446 (16.64GB), 13823, 2258675366, 125630, 941994623, 48010, 3879938656
vimanindia.com, 6, 1779095216 (1.66GB), 331328084 (315.98MB), 7234, 486634668, 269, 84411881, 16105, 1208048667
vtechsystems.com, 7, 388759400 (370.75MB), 3818275183 (3.56GB), 4090, 375616243, 4, 2076733, 2117, 11066424
