domain,ids,bandwidth,storage,incount,inbytes,outcount,outbytes,popcount,popbytes
agrowintl.in, 2, 9743652 (9.29MB), 368566 (359.93KB), 18, 2043576, 393, 3942969, 24, 3757107
alphaenter.net, 1, 207005160 (197.42MB), 1459691103 (1.36GB), 306, 176672593, 76, 14365738, 310, 15966829
bhavanssvvidyalaya.org, 2, 39153483 (37.34MB), 151862939 (144.83MB), 56, 8517982, 8, 8270297, 106, 22365204
bhavantirupati.org, 2, 417981259 (398.62MB), 978301174 (932.98MB), 777, 391998482, 33, 25982777, 0, 0
bhumisagarexpo.com, 2, 114141592 (108.85MB), 832248 (812.74KB), 79, 52746648, 102, 4211211, 76, 57183733
bullfreight.com, 1, 520610952 (496.49MB), 30357482 (28.95MB), 1994, 222543303, 818, 177206772, 674, 120860877
charirrfc.in, 1, 72486852 (69.13MB), 552796818 (527.19MB), 196, 72486852, 0, 0, 0, 0
congressmedia.net, 42, 32068558 (30.58MB), 2765936330 (2.58GB), 56, 32068558, 0, 0, 0, 0
cropinagro.com, 9, 496946434 (473.93MB), 211527293 (201.73MB), 195, 37540333, 93087, 459406101, 0, 0
enmail.com, 33, 11444370522 (10.66GB), 10600331364 (9.87GB), 1609, 108881792, 7153, 11327057042, 293, 8431688
giftville.in, 4, 103333979 (98.55MB), 742659294 (708.26MB), 992, 76610409, 69, 26723570, 0, 0
harshitaassociates.com, 2, 114709973 (109.40MB), 223631021 (213.27MB), 851, 64254930, 133, 8021940, 473, 42433103
harvishpromark.com, 3, 69709 (68.08KB), 15827507 (15.09MB), 3, 69709, 0, 0, 0, 0
heducate.org, 5, 669074 (653.39KB), 666289 (650.67KB), 21, 540370, 5, 8643, 9, 120061
hisdom.org, 1, 666071 (650.46KB), 2031234 (1.94MB), 21, 666071, 0, 0, 0, 0
infobasesystemms.com, 4, 3991206046 (3.72GB), 3529385191 (3.29GB), 1500, 512667640, 1923, 839796200, 11897, 2638742206
itapagro.com, 29, 6704912093 (6.24GB), 2051159346 (1.91GB), 9191, 2413790855, 1192, 468184130, 20405, 3822937108
juseffex.com, 29, 1284578250 (1.20GB), 8372247872 (7.80GB), 16514, 738188432, 1410, 213019545, 3194, 333370273
kandhadai.com, 2, 14428909 (13.76MB), 60208643 (57.42MB), 11, 197507, 286, 14231402, 0, 0
kinship-global.com, 1, 301125097 (287.18MB), 5163644 (4.92MB), 822, 150060174, 2, 35842, 825, 151029081
kllpl.org, 6, 5408225666 (5.04GB), 4086161687 (3.81GB), 1353, 318229323, 5804, 4699864574, 3403, 390131769
lakshmicargo.net, 17, 912543598 (870.27MB), 650227282 (620.11MB), 1495, 287215956, 1775, 239376473, 1697, 385951169
learnyoga.org, 3, 21413795912 (19.94GB), 1169154333 (1.09GB), 130576, 1507081047, 3398743, 19803474656, 2766, 103240209
lfsindia.in, 3, 325085097 (310.03MB), 163608002 (156.03MB), 578, 99058048, 40, 4603703, 7425, 221423346
mahaagro.in, 17, 7597651531 (7.08GB), 3311127729 (3.08GB), 11228, 3757769984, 2267, 672529111, 37226, 3167352436
mfapartments.net, 1, 16453843 (15.69MB), 42802798 (40.82MB), 378, 15215536, 44, 1238307, 0, 0
oops.co.in, 4, 3532977 (3.37MB), 317058760 (302.37MB), 21, 3141071, 0, 0, 13, 391906
pranaav.com, 12, 661365818 (630.73MB), 210871392 (201.10MB), 11309, 361563032, 12, 3725410, 7269, 296077376
ptlinfotech.com, 5, 3255094 (3.10MB), 19579901 (18.67MB), 60, 1726056, 0, 0, 56, 1529038
pushyaconsultancy.in, 2, 37286372 (35.56MB), 71779468 (68.45MB), 91, 9468677, 86, 10506626, 148, 17311069
renalo.net, 1, 45767904 (43.65MB), 16384 (16.00KB), 162, 13920239, 22, 17491915, 166, 14355750
renato.in, 1, 2510560 (2.39MB), 16384 (16.00KB), 13, 1244266, 0, 0, 13, 1266294
rosaonline.org, 15, 7586303360 (7.07GB), 817442784 (779.57MB), 3228, 1516986792, 10228, 241805563, 11525, 5827511005
seahorseindia.co.in, 1, 78175843 (74.55MB), 570228442 (543.81MB), 219, 30932442, 101, 11144523, 225, 36098878
sricomworld.com, 21, 128328227 (122.38MB), 4046778349 (3.77GB), 4078, 128328227, 0, 0, 0, 0
tristarcontainer.co.in, 25, 5152126459 (4.80GB), 1307525798 (1.22GB), 15884, 2178677276, 3568, 685605061, 37490, 2287844122
vanmoppesindia.com, 26, 5769066649 (5.37GB), 20217223943 (18.83GB), 10656, 1907097777, 2856, 596657027, 44156, 3265311845
vimanindia.com, 4, 552878440 (527.27MB), 484087645 (461.66MB), 10180, 368417917, 198, 49194975, 1748, 135265548
vtechsystems.com, 7, 287226726 (273.92MB), 3794830479 (3.53GB), 4770, 279156622, 6, 7375, 1510, 8062729
