domain,ids,bandwidth,storage,incount,inbytes,outcount,outbytes,popcount,popbytes
agrowintl.in, 2, 967455 (944.78KB), 32768 (32.00KB), 13, 482559, 3, 155420, 9, 329476
alphaenter.net, 1, 873601366 (833.13MB), 2721881561 (2.53GB), 389, 309634645, 219, 249450004, 788, 314516717
bhavanssvvidyalaya.org, 2, 102848330 (98.08MB), 141758582 (135.19MB), 29, 49129536, 4, 448454, 28, 53270340
bhavantirupati.org, 2, 480731983 (458.46MB), 870571261 (830.24MB), 699, 428585696, 29, 52146287, 0, 0
bhumisagarexpo.com, 2, 99194871 (94.60MB), 283079 (276.44KB), 75, 18175396, 146, 62831490, 73, 18187985
bullfreight.com, 1, 240454927 (229.32MB), 30136940 (28.74MB), 1565, 123175576, 248, 68225395, 408, 49053956
cagp.ae, 3, 998180810 (951.94MB), 349143739 (332.97MB), 169, 287519665, 76, 202103344, 458, 508557801
charirrfc.in, 1, 129557679 (123.56MB), 159718611 (152.32MB), 169, 129557679, 0, 0, 0, 0
congressmedia.net, 41, 24746047 (23.60MB), 2588336700 (2.41GB), 50, 24746047, 0, 0, 0, 0
edelcap.com, 2109, 29248015380 (27.25GB), 0, 222761, 29248015380, 0, 0, 0, 0
enmail.com, 33, 75926352 (72.41MB), 10024831550 (9.34GB), 1346, 52249300, 292, 5148753, 279, 18528299
giftville.in, 4, 48872896 (46.61MB), 467345381 (445.70MB), 577, 39262821, 26, 9610075, 0, 0
harshitaassociates.com, 2, 375839277 (358.43MB), 233286687 (222.48MB), 653, 73440994, 201, 233867500, 470, 68530783
hisdom.org, 1, 574080 (560.62KB), 8970683 (8.56MB), 22, 574080, 0, 0, 0, 0
infobasesystemms.com, 4, 2184839682 (2.03GB), 2869802177 (2.67GB), 1077, 529140524, 1619, 592431616, 2180, 1063267542
itapagro.com, 30, 17199247598 (16.02GB), 2643942484 (2.46GB), 19943, 2611622874, 18215, 10623555752, 37233, 3964068972
juseffex.com, 29, 2768868109 (2.58GB), 6775794085 (6.31GB), 5556, 769955420, 2130, 590870549, 5425, 1408042140
kandhadai.com, 2, 209566 (204.65KB), 58838135 (56.11MB), 8, 209566, 0, 0, 0, 0
kinship-global.com, 1, 119785645 (114.24MB), 1444784 (1.38MB), 930, 59951893, 2, 16509, 907, 59817243
kllpl.org, 5, 2235122494 (2.08GB), 1403424573 (1.31GB), 1061, 286709483, 2242, 1594642166, 1597, 353770845
lakshmicargo.net, 16, 874716557 (834.19MB), 1006448018 (959.82MB), 881, 191715272, 870, 471528630, 888, 211472655
learnyoga.org, 3, 53876690 (51.38MB), 680743020 (649.21MB), 440, 24144228, 9, 411451, 499, 29321011
lfsindia.in, 3, 345589672 (329.58MB), 193846390 (184.87MB), 577, 137721186, 56, 35509101, 7192, 172359385
mahaagro.in, 17, 11001296671 (10.25GB), 4680629015 (4.36GB), 9125, 3665911996, 2790, 731199314, 83492, 6604185361
mfapartments.net, 1, 3638632 (3.47MB), 22161298 (21.13MB), 51, 3543305, 18, 95327, 0, 0
oops.co.in, 4, 3301717 (3.15MB), 317086712 (302.40MB), 36, 3141168, 0, 0, 7, 160549
pranaav.com, 14, 627558856 (598.49MB), 1104323398 (1.03GB), 7116, 295194449, 75, 63414687, 4057, 268949720
ptlinfotech.com, 4, 7765362 (7.41MB), 19399668 (18.50MB), 49, 3739815, 2, 411692, 48, 3613855
rosaonline.org, 15, 5861951890 (5.46GB), 947376275 (903.49MB), 2764, 1963882732, 16399, 411818776, 4509, 3486250382
seahorseindia.co.in, 1, 70288296 (67.03MB), 298265351 (284.45MB), 271, 22447261, 128, 24957694, 265, 22883341
sricomworld.com, 21, 601669137 (573.80MB), 2460153196 (2.29GB), 4938, 321372467, 174, 146673143, 2710, 133623527
tristarcontainer.co.in, 24, 8224300250 (7.66GB), 1319906714 (1.23GB), 16711, 3028849624, 3435, 1716201906, 48348, 3479248720
vanmoppesindia.com, 26, 6469028297 (6.02GB), 17223799350 (16.04GB), 12635, 2073345037, 2588, 603823173, 53787, 3791860087
vimanindia.com, 6, 795205217 (758.37MB), 135022790 (128.77MB), 5551, 327576539, 452, 120355778, 5851, 347272900
vtechsystems.com, 7, 367733731 (350.70MB), 3661340772 (3.41GB), 4178, 347365456, 12, 118007, 2159, 20250268
