domain,ids,bandwidth,storage,incount,inbytes,outcount,outbytes,popcount,popbytes
agrowintl.in, 2, 72530 (70.83KB), 32768 (32.00KB), 0, 0, 1, 72530, 0, 0
alphaenter.net, 1, 450816298 (429.93MB), 2352723160 (2.19GB), 369, 204617975, 153, 31569899, 790, 214628424
bhavanssvvidyalaya.org, 2, 1851986 (1.77MB), 94371297 (90.00MB), 28, 653359, 5, 388655, 31, 809972
bhavantirupati.org, 2, 424752777 (405.08MB), 750663738 (715.89MB), 688, 387317834, 19, 37434943, 0, 0
bullfreight.com, 1, 299472168 (285.60MB), 29990044 (28.60MB), 1678, 147914968, 363, 78975938, 461, 72581262
cagp.ae, 3, 448882004 (428.09MB), 134454398 (128.23MB), 119, 158963695, 62, 128496628, 179, 161421681
charirrfc.in, 1, 68704228 (65.52MB), 148017503 (141.16MB), 224, 68704228, 0, 0, 0, 0
congressmedia.net, 41, 25733932 (24.54MB), 2563586787 (2.39GB), 65, 25733932, 0, 0, 0, 0
edelcap.com, 2180, 57502174620 (57.65GB), 0, 420522, 57502174620, 0, 0, 0, 0
enmail.com, 34, 71806471 (68.48MB), 10001549896 (9.31GB), 1276, 52793572, 233, 10725424, 250, 8287475
giftville.in, 4, 82641193 (78.81MB), 447967734 (427.22MB), 648, 80240920, 47, 2400273, 0, 0
harshitaassociates.com, 2, 174983971 (166.88MB), 202457223 (193.08MB), 533, 52066642, 147, 58924955, 466, 63992374
harvishpromark.com, 3, 530024 (517.60KB), 93126 (90.94KB), 14, 296333, 2, 38975, 8, 194716
hisdom.org, 1, 654746 (639.40KB), 8394609 (8.01MB), 35, 654746, 0, 0, 0, 0
infobasesystemms.com, 4, 2219803199 (2.07GB), 3735353155 (3.48GB), 1137, 512527689, 2072, 705802664, 2206, 1001472846
itapagro.com, 30, 7633801228 (7.11GB), 2713899934 (2.53GB), 18458, 2086515008, 3058, 480990371, 119428, 5066295849
juseffex.com, 27, 2792313413 (2.60GB), 6246962937 (5.82GB), 6540, 1181908033, 2606, 575338190, 4283, 1035067190
kandhadai.com, 2, 584105 (570.42KB), 58493881 (55.78MB), 12, 584105, 0, 0, 0, 0
kinship-global.com, 1, 230784268 (220.09MB), 134517 (131.36KB), 1129, 100668718, 41, 26543657, 1130, 103571893
kllpl.org, 5, 3153568802 (2.94GB), 1314446106 (1.22GB), 2589, 573526178, 3754, 868225836, 6943, 1711816788
lakshmicargo.net, 16, 2156136065 (2.01GB), 1182482896 (1.10GB), 1066, 518341881, 1193, 868161482, 1529, 769632702
learnyoga.org, 3, 80968077 (77.22MB), 654197701 (623.89MB), 404, 41502655, 3, 143891, 363, 39321531
lfsindia.in, 3, 269295632 (256.82MB), 154406332 (147.25MB), 526, 76481074, 45, 60151694, 6027, 132662864
mahaagro.in, 16, 6404915787 (5.97GB), 4238045248 (3.95GB), 8914, 2813483930, 2698, 549975174, 84118, 3041456683
mfapartments.net, 1, 8707284 (8.30MB), 19321527 (18.43MB), 41, 5666134, 33, 3041150, 0, 0
oops.co.in, 4, 2953308 (2.82MB), 317058760 (302.37MB), 55, 2746003, 0, 0, 12, 207305
pranaav.com, 14, 649753259 (619.65MB), 1086258651 (1.01GB), 6397, 319063269, 92, 22982324, 4290, 307707666
ptlinfotech.com, 4, 37924797 (36.17MB), 19219514 (18.33MB), 55, 2497850, 9, 32839304, 57, 2587643
rosaonline.org, 15, 5688965917 (5.30GB), 661001826 (630.38MB), 2666, 1778895094, 22796, 639397115, 4446, 3270673708
seahorseindia.co.in, 1, 319571435 (304.77MB), 275766368 (262.99MB), 365, 126653526, 156, 64674807, 365, 128243102
sricomworld.com, 21, 834791044 (796.12MB), 2663614377 (2.48GB), 5284, 436932227, 398, 119099530, 3410, 278759287
tristarcontainer.co.in, 24, 5071069896 (4.72GB), 1216474756 (1.13GB), 17630, 2151945747, 3428, 544389915, 34141, 2374734234
vanmoppesindia.com, 26, 6295620109 (5.86GB), 17110546385 (15.94GB), 12801, 1774717683, 2531, 860567750, 54632, 3660334676
vimanindia.com, 6, 845178767 (806.03MB), 108055740 (103.05MB), 4785, 357380151, 171, 31129423, 6039, 456669193
vtechsystems.com, 7, 437804417 (417.52MB), 5628344919 (5.24GB), 4085, 402026270, 22, 21315685, 2167, 14462462
