domain,ids,bandwidth,storage,incount,inbytes,outcount,outbytes,popcount,popbytes
agrowintl.in, 2, 11102 (10.84KB), 32768 (32.00KB), 4, 10352, 0, 0, 1, 750
alphaenter.net, 1, 740698656 (706.39MB), 4220326961 (3.93GB), 482, 324983458, 317, 101143306, 1083, 314571892
bhavanssvvidyalaya.org, 2, 5010 (4.89KB), 33600 (32.81KB), 2, 1478, 1, 2679, 1, 853
bhavantirupati.org, 2, 705848110 (673.15MB), 1512566844 (1.41GB), 811, 182362791, 4591, 398690456, 575, 124794863
bullfreight.com, 1, 159848930 (152.44MB), 24617205 (23.48MB), 1164, 73937823, 151, 24462424, 796, 61448683
charirrfc.in, 1, 102432072 (97.69MB), 125029291 (119.24MB), 308, 102176247, 5, 255825, 0, 0
congressmedia.net, 41, 15701479 (14.97MB), 2280158614 (2.12GB), 51, 15701479, 0, 0, 0, 0
edelcap.com, 2145, 80624457926 (75.09GB), 0, 520494, 80624457926, 0, 0, 0, 0
enmail.com, 34, 216545077 (206.51MB), 9081823561 (8.46GB), 1167, 126586848, 386, 78046208, 160, 11912021
giftville.in, 4, 70831027 (67.55MB), 351794206 (335.50MB), 361, 69424326, 13, 1406701, 0, 0
harshitaassociates.com, 2, 838680960 (799.83MB), 194341215 (185.34MB), 491, 248618564, 369, 165240878, 830, 424821518
harvishpromark.com, 3, 58077 (56.72KB), 56184 (54.87KB), 0, 0, 6, 58077, 0, 0
hisdom.org, 1, 594276 (580.35KB), 460035 (449.25KB), 41, 592670, 1, 1606, 0, 0
infobasesystemms.com, 4, 2218938349 (2.07GB), 4902008492 (4.57GB), 689, 522449291, 1223, 616806672, 1398, 1079682386
itapagro.com, 24, 3635406514 (3.39GB), 2672876381 (2.49GB), 10935, 1566005051, 424, 321000955, 11167, 1748400508
juseffex.com, 20, 642448269 (612.69MB), 5233290196 (4.87GB), 2066, 293379218, 506, 73190325, 3314, 275878726
kandhadai.com, 2, 390085 (380.94KB), 48301460 (46.06MB), 13, 390085, 0, 0, 0, 0
kinship-global.com, 7, 310851194 (296.45MB), 784476870 (748.14MB), 1041, 159065528, 94, 17093382, 867, 134692284
kllpl.org, 2, 1596299966 (1.49GB), 52531867 (50.10MB), 1001, 423956735, 2562, 726688919, 1110, 445654312
lakshmicargo.net, 16, 597944390 (570.24MB), 872656177 (832.23MB), 1335, 193281631, 1449, 236421903, 1107, 168240856
learnyoga.org, 4, 101966852 (97.24MB), 64321823 (61.34MB), 347, 37918620, 20, 22636321, 362, 41411911
lfsindia.in, 3, 474809991 (452.81MB), 145734905 (138.98MB), 342, 167695966, 92, 37547047, 4619, 269566978
mahaagro.in, 13, 10391107392 (9.68GB), 5336143673 (4.97GB), 9290, 2686659451, 2511, 385188104, 59787, 7319259837
mfapartments.net, 2, 1962102 (1.87MB), 28011466 (26.71MB), 25, 1905962, 6, 56140, 0, 0
oops.co.in, 4, 5128455 (4.89MB), 317058760 (302.37MB), 45, 4129058, 0, 0, 22, 999397
pranaav.com, 20, 830062427 (791.61MB), 1549021019 (1.44GB), 3354, 415310661, 163, 66422290, 3024, 348329476
ptlinfotech.com, 6, 4031429 (3.84MB), 28193787 (26.89MB), 47, 2587692, 0, 0, 31, 1443737
rosaonline.org, 1, 5444172439 (5.07GB), 254838771 (243.03MB), 1946, 1381841564, 631, 517320172, 4760, 3545010703
seahorseindia.co.in, 1, 10119294 (9.65MB), 31002854 (29.57MB), 116, 4127955, 10, 21688, 126, 5969651
sricomworld.com, 20, 775563782 (739.64MB), 743805725 (709.35MB), 4826, 361862217, 212, 79949496, 6862, 333752069
srimarine.com, 2, 359206223 (342.57MB), 1301383 (1.24MB), 808, 238351325, 23, 10691171, 367, 110163727
tristarcontainer.co.in, 22, 4698673660 (4.38GB), 3118008121 (2.90GB), 17015, 1944756614, 4329, 474256907, 38399, 2279660139
vanmoppesindia.com, 32, 6648957036 (6.19GB), 17619033174 (16.41GB), 13889, 1822459276, 1989, 406375090, 73063, 4420122670
vimanindia.com, 21, 2597797323 (2.42GB), 76173308 (72.64MB), 12382, 1169053859, 1187, 100153611, 15020, 1328589853
vinshatech.com, 5, 9335807 (8.90MB), 496736460 (473.72MB), 27, 9335807, 0, 0, 0, 0
vtechsystems.com, 6, 625520333 (596.54MB), 4972713357 (4.63GB), 4595, 364107712, 965, 261412621, 0, 0
