domain,ids,bandwidth,storage,incount,inbytes,outcount,outbytes,popcount,popbytes
  roman.structuring, 136984 (133.77KB), 0, 12, 136984, 0, 0, 0, 0
  srdahmedabad, 51279 (50.08KB), 0, 15, 51279, 0, 0, 0, 0
  bhojraj.shinde, 20551 (20.07KB), 0, 12, 20551, 0, 0, 0, 0
  santosh.adivarekar, 862928 (842.70KB), 0, 17, 862928, 0, 0, 0, 0
  satyendra.singh, 36226 (35.38KB), 0, 1, 36226, 0, 0, 0, 0
  ashish.kulkarni, 148675 (145.19KB), 0, 19, 148675, 0, 0, 0, 0
  sahil.kapoor, 654891 (639.54KB), 0, 58, 654891, 0, 0, 0, 0
  nikhat.khan, 116467 (113.74KB), 0, 18, 116467, 0, 0, 0, 0
  pradeep.tiwari, 548336 (535.48KB), 0, 24, 548336, 0, 0, 0, 0
  csemumbai.ib, 46323 (45.24KB), 0, 21, 46323, 0, 0, 0, 0
  divyaa.gala, 15847 (15.48KB), 0, 9, 15847, 0, 0, 0, 0
  samir.shah, 48775 (47.63KB), 0, 14, 48775, 0, 0, 0, 0
  ahmedabad, 31522 (30.78KB), 0, 13, 31522, 0, 0, 0, 0
  nikita.rane, 60134 (58.72KB), 0, 20, 60134, 0, 0, 0, 0
  kesih2010, 57118 (55.78KB), 0, 18, 57118, 0, 0, 0, 0
  teaminsti, 28609 (27.94KB), 0, 13, 28609, 0, 0, 0, 0
  renu.jalan, 46891 (45.79KB), 0, 10, 46891, 0, 0, 0, 0
  rajan.dalal, 115138 (112.44KB), 0, 17, 115138, 0, 0, 0, 0
  sonal.vaidya, 20603 (20.12KB), 0, 13, 20603, 0, 0, 0, 0
  abhishek.nalleri, 53694 (52.44KB), 0, 13, 53694, 0, 0, 0, 0
  aneesha.pant, 485077 (473.71KB), 0, 97, 485077, 0, 0, 0, 0
  mayank.soti, 81819 (79.90KB), 0, 27, 81819, 0, 0, 0, 0
  debajit.saha, 32841 (32.07KB), 0, 11, 32841, 0, 0, 0, 0
  cs.mumbai, 49207 (48.05KB), 0, 13, 49207, 0, 0, 0, 0
  harshal.mehta, 19314 (18.86KB), 0, 9, 19314, 0, 0, 0, 0
  rahulk.arora, 55296 (54.00KB), 0, 14, 55296, 0, 0, 0, 0
  arijit.saha, 73333 (71.61KB), 0, 14, 73333, 0, 0, 0, 0
  manish.hirwani, 33133 (32.36KB), 0, 12, 33133, 0, 0, 0, 0
  dstdelhitl.mona, 47931 (46.81KB), 0, 17, 47931, 0, 0, 0, 0
  yogesh.sawant, 46194 (45.11KB), 0, 12, 46194, 0, 0, 0, 0
  navin.rao, 53050 (51.81KB), 0, 17, 53050, 0, 0, 0, 0
  aakash.agrawal, 27782 (27.13KB), 0, 15, 27782, 0, 0, 0, 0
  suraj.daga, 109958 (107.38KB), 0, 16, 109958, 0, 0, 0, 0
  india.dividend, 45244 (44.18KB), 0, 15, 45244, 0, 0, 0, 0
  clientadvisoryservices, 107782 (105.26KB), 0, 13, 107782, 0, 0, 0, 0
  coreteam.crmnext, 19980 (19.51KB), 0, 12, 19980, 0, 0, 0, 0
  atul.mehra, 40314 (39.37KB), 0, 19, 40314, 0, 0, 0, 0
  mithil.karekar, 38167 (37.27KB), 0, 14, 38167, 0, 0, 0, 0
  anupam.o, 56152 (54.84KB), 0, 14, 56152, 0, 0, 0, 0
  kbl.openoffer, 728721 (711.64KB), 0, 47, 728721, 0, 0, 0, 0
  sales.villeparle, 19763 (19.30KB), 0, 13, 19763, 0, 0, 0, 0
