domain,ids,bandwidth,storage,incount,inbytes,outcount,outbytes,popcount,popbytes
agrowintl.in, 2, 1412698 (1.35MB), 32768 (32.00KB), 7, 469811, 14, 535179, 4, 407708
alphaenter.net, 1, 336740756 (321.14MB), 3351259334 (3.12GB), 369, 142733871, 220, 16161778, 777, 177845107
bhavanssvvidyalaya.org, 2, 39701701 (37.86MB), 77434887 (73.85MB), 16, 2318872, 20, 34882862, 12, 2499967
bhavantirupati.org, 2, 269470504 (256.99MB), 1361213203 (1.27GB), 715, 223811764, 14, 45658740, 0, 0
bullfreight.com, 1, 591419200 (564.02MB), 29211645 (27.86MB), 1738, 156795252, 535, 317048626, 781, 117575322
charirrfc.in, 1, 72799246 (69.43MB), 155110937 (147.93MB), 175, 72798474, 1, 772, 0, 0
congressmedia.net, 41, 22041737 (21.02MB), 2471056899 (2.30GB), 63, 22041737, 0, 0, 0, 0
edelcap.com, 2173, 57934204805 (53.97GB), 0, 445636, 57934204805, 0, 0, 0, 0
enmail.com, 34, 140430121 (133.92MB), 9808233741 (9.13GB), 1260, 78125449, 733, 20704316, 386, 41600356
giftville.in, 4, 89924892 (85.76MB), 372921993 (355.65MB), 656, 86693023, 36, 3231869, 0, 0
harshitaassociates.com, 2, 579310668 (552.47MB), 247102376 (235.66MB), 447, 94729950, 183, 314615642, 778, 169965076
hisdom.org, 1, 634554 (619.68KB), 5854270 (5.58MB), 30, 634554, 0, 0, 0, 0
infobasesystemms.com, 4, 1978225338 (1.84GB), 2097778284 (1.95GB), 978, 443353897, 1647, 767405502, 1623, 767465939
itapagro.com, 28, 7322875139 (6.82GB), 2591650050 (2.41GB), 19379, 2455310316, 692, 254755916, 111599, 4612808907
juseffex.com, 25, 2591728203 (2.41GB), 4487896939 (4.18GB), 4886, 866225173, 2295, 260836470, 7847, 1464666560
kandhadai.com, 2, 70173 (68.53KB), 49440156 (47.15MB), 5, 70173, 0, 0, 0, 0
kinship-global.com, 1, 204478036 (195.01MB), 1407011 (1.34MB), 1237, 100321160, 65, 3156025, 1226, 101000851
kllpl.org, 4, 2578698227 (2.40GB), 194821169 (185.80MB), 1869, 511236319, 3821, 1481017511, 2457, 586444397
lakshmicargo.net, 17, 954027932 (909.83MB), 940604872 (897.03MB), 1601, 217898152, 1679, 209387301, 5207, 526742479
learnyoga.org, 4, 124725255 (118.95MB), 449442060 (428.62MB), 490, 64159982, 13, 4401760, 367, 56163513
lfsindia.in, 3, 319494110 (304.69MB), 148424827 (141.55MB), 367, 110766841, 82, 37307143, 5260, 171420126
mahaagro.in, 15, 25761089905 (23.99GB), 5429132412 (5.06GB), 9241, 4536523371, 2478, 387545599, 127478, 20837020935
mfapartments.net, 1, 2860571 (2.73MB), 36473679 (34.78MB), 75, 2858401, 2, 2170, 0, 0
oops.co.in, 4, 12274571 (11.71MB), 317058760 (302.37MB), 52, 12274571, 0, 0, 0, 0
pranaav.com, 19, 566569040 (540.32MB), 1356317017 (1.26GB), 5004, 305896129, 102, 55409519, 3598, 205263392
ptlinfotech.com, 6, 3946893 (3.76MB), 31959863 (30.48MB), 60, 2831322, 2, 386480, 18, 729091
rosaonline.org, 3, 5322985250 (4.96GB), 307702888 (293.45MB), 2826, 2083584607, 11761, 290736601, 4163, 2948664042
seahorseindia.co.in, 1, 18995230 (18.12MB), 71718398 (68.40MB), 138, 9127432, 7, 331659, 133, 9536139
sricomworld.com, 20, 603820255 (575.85MB), 1845263182 (1.72GB), 5329, 333821882, 155, 90613371, 2543, 179385002
tristarcontainer.co.in, 26, 6671504208 (6.21GB), 4709637094 (4.39GB), 20156, 2515366565, 4605, 507627877, 46106, 3648509766
vanmoppesindia.com, 26, 6862178445 (6.39GB), 16044204217 (14.94GB), 12104, 2163960816, 70566, 1051151746, 57726, 3647065883
vimanindia.com, 8, 2286427505 (2.13GB), 130251921 (124.22MB), 7323, 849436057, 627, 98310582, 13100, 1338680866
vtechsystems.com, 7, 619467771 (590.77MB), 5542427744 (5.16GB), 5800, 564467895, 32, 35707295, 3750, 19292581
