domain,ids,bandwidth,storage,incount,inbytes,outcount,outbytes,popcount,popbytes
agrowintl.in, 2, 6246211 (5.96MB), 4232494 (4.04MB), 12, 3052607, 4, 34282, 13, 3159322
alphaenter.net, 1, 638431012 (608.86MB), 2837068722 (2.64GB), 360, 161216280, 81, 461029968, 298, 16184764
bhavanssvvidyalaya.org, 2, 64294931 (61.32MB), 280860712 (267.85MB), 74, 6833406, 5, 8127, 155, 57453398
bhavantirupati.org, 2, 538369069 (513.43MB), 697868378 (665.54MB), 874, 521747418, 43, 16621651, 0, 0
bhumisagarexpo.com, 2, 476771921 (454.69MB), 91189 (89.05KB), 193, 50399777, 473, 352160336, 356, 74211808
bullfreight.com, 1, 436106990 (415.90MB), 32631861 (31.12MB), 1751, 148993656, 558, 218787720, 362, 68325614
charirrfc.in, 1, 41966869 (40.02MB), 430447793 (410.51MB), 128, 41966869, 0, 0, 0, 0
congressmedia.net, 41, 22072754 (21.05MB), 2875170469 (2.68GB), 43, 22072754, 0, 0, 0, 0
cropinagro.com, 9, 35667917 (34.02MB), 273109728 (260.46MB), 115, 35667917, 0, 0, 0, 0
enmail.com, 36, 82851168 (79.01MB), 10907755514 (10.16GB), 1023, 64098196, 385, 15694248, 190, 3058724
giftville.in, 4, 55806502 (53.22MB), 614569787 (586.10MB), 780, 46873195, 42, 8933307, 0, 0
harshitaassociates.com, 2, 355199735 (338.74MB), 248075888 (236.58MB), 685, 73422512, 322, 174818569, 553, 106958654
harvishpromark.com, 3, 998299 (974.90KB), 17011441 (16.22MB), 5, 998299, 0, 0, 0, 0
heducate.org, 5, 681575 (665.60KB), 1210956 (1.15MB), 17, 577887, 8, 103688, 0, 0
hisdom.org, 1, 271322 (264.96KB), 3451028 (3.29MB), 7, 271322, 0, 0, 0, 0
infobasesystemms.com, 4, 2752677954 (2.56GB), 3352125177 (3.12GB), 1444, 638210607, 1970, 837913955, 2882, 1276553392
itapagro.com, 29, 5879137106 (5.48GB), 2181743221 (2.03GB), 10017, 2127993830, 1229, 296050155, 20324, 3455093121
juseffex.com, 31, 1535810077 (1.43GB), 8503055798 (7.92GB), 17454, 668539988, 207676, 535259921, 1566, 332010168
kandhadai.com, 2, 450585 (440.02KB), 60783881 (57.97MB), 5, 450585, 0, 0, 0, 0
kinship-global.com, 1, 180263479 (171.91MB), 190587 (186.12KB), 942, 81462053, 55, 12150912, 978, 86650514
kllpl.org, 4, 1175772726 (1.10GB), 4106941475 (3.82GB), 1008, 154816933, 5674, 822967777, 2396, 197988016
lakshmicargo.net, 17, 642188186 (612.44MB), 685088455 (653.35MB), 1883, 183585591, 2033, 218761378, 2552, 239841217
learnyoga.org, 3, 31800142 (30.33MB), 131643439 (125.54MB), 551, 27539878, 5, 14736, 47, 4245528
lfsindia.in, 3, 118630669 (113.14MB), 150234381 (143.27MB), 410, 37757669, 68, 13652745, 1020, 67220255
mahaagro.in, 20, 16445768222 (15.32GB), 5259336610 (4.90GB), 9560, 4039052297, 9915, 8039520628, 16845, 4367195297
mfapartments.net, 1, 39900403 (38.05MB), 22581950 (21.54MB), 125, 16651096, 47, 23249307, 0, 0
oops.co.in, 4, 3118849 (2.97MB), 327433748 (312.27MB), 50, 3118849, 0, 0, 0, 0
pranaav.com, 10, 666923514 (636.03MB), 124540088 (118.77MB), 5093, 336336815, 30, 1879460, 4068, 328707239
ptlinfotech.com, 4, 7229676 (6.89MB), 19254014 (18.36MB), 65, 3597554, 0, 0, 64, 3632122
pushyaconsultancy.in, 2, 59985335 (57.21MB), 188034858 (179.32MB), 142, 19710423, 136, 20989267, 131, 19285645
renalo.net, 1, 15095541 (14.40MB), 59716 (58.32KB), 174, 7467389, 0, 0, 174, 7628152
rosaonline.org, 16, 6654532000 (6.20GB), 645848184 (615.93MB), 2867, 1326184393, 8676, 768897593, 9108, 4559450014
seahorseindia.co.in, 1, 43148273 (41.15MB), 631502886 (602.25MB), 173, 16197461, 64, 11986658, 154, 14964154
sricomworld.com, 22, 873232308 (832.78MB), 2027202603 (1.89GB), 3420, 369313629, 412, 35974015, 8943, 467944664
tristarcontainer.co.in, 25, 5653203852 (5.26GB), 798202811 (761.23MB), 16474, 2164885305, 3143, 526097397, 76344, 2962221150
vanmoppesindia.com, 27, 4273989838 (3.98GB), 19086463286 (17.78GB), 9614, 1342095855, 27112, 567681447, 33310, 2364212536
vimanindia.com, 4, 1373208028 (1.28GB), 1342830840 (1.25GB), 7331, 790066039, 70, 18755508, 2156, 564386481
vtechsystems.com, 7, 445896671 (425.24MB), 3884091896 (3.62GB), 3653, 255963075, 24, 42632342, 2182, 147301254
