domain,ids,bandwidth,storage,incount,inbytes,outcount,outbytes,popcount,popbytes
alphaenter.net, 1, 627492094 (598.42MB), 3151174773 (2.93GB), 302, 185062639, 188, 42372115, 969, 400057340
bhavantirupati.org, 2, 661519116 (630.87MB), 1299338909 (1.21GB), 722, 276298340, 102, 106182436, 705, 279038340
bullfreight.com, 1, 314899153 (300.31MB), 19044741 (18.16MB), 1318, 99210613, 328, 111691912, 1344, 103996628
charirrfc.in, 1, 151315452 (144.31MB), 111261973 (106.11MB), 183, 151314772, 1, 680, 0, 0
congressmedia.net, 41, 27777379 (26.49MB), 2231931989 (2.08GB), 70, 27777379, 0, 0, 0, 0
edelcap.com, 2211, 78640617845 (73.24GB), 0, 427808, 78640617845, 0, 0, 0, 0
enmail.com, 32, 184954804 (176.39MB), 8615018927 (8.02GB), 1287, 115780265, 392, 33879889, 233, 35294650
giftville.in, 4, 56219663 (53.62MB), 234232974 (223.38MB), 371, 55374542, 18, 845121, 0, 0
harshitaassociates.com, 2, 214358909 (204.43MB), 156102836 (148.87MB), 716, 52792829, 332, 65945694, 1093, 95620386
harvishpromark.com, 3, 30758 (30.04KB), 56184 (54.87KB), 5, 14985, 0, 0, 5, 15773
infobasesystemms.com, 4, 1837118644 (1.71GB), 7098866584 (6.61GB), 686, 527295726, 1024, 267582139, 1397, 1042240779
infotronics-healthcare.com, 3, 5965729 (5.69MB), 101822 (99.44KB), 22, 785276, 0, 0, 159, 5180453
infotronics-uk.com, 15, 236289871 (225.34MB), 23793335 (22.69MB), 106, 7878378, 0, 0, 7686, 228411493
itapagro.com, 23, 2790238506 (2.60GB), 2085454603 (1.94GB), 7004, 926948905, 373, 152448101, 16314, 1710841500
juseffex.com, 17, 1980389082 (1.84GB), 4482128174 (4.17GB), 4502, 833441297, 2360, 463190670, 4170, 683757115
kandhadai.com, 2, 294976 (288.06KB), 47766401 (45.55MB), 3, 294976, 0, 0, 0, 0
kinship-global.com, 7, 352592681 (336.26MB), 655390418 (625.03MB), 1109, 154065519, 740, 60403561, 954, 138123601
kllpl.org, 4, 382279707 (364.57MB), 143411 (140.05KB), 186, 127013925, 695, 112992157, 197, 142273625
lakshmicargo.net, 16, 1327700746 (1.24GB), 642051002 (612.31MB), 122595, 414919226, 618950, 710209096, 1534, 202572424
learnyoga.org, 4, 98563599 (94.00MB), 15310618 (14.60MB), 337, 40610346, 16, 12285150, 394, 45668103
lfsindia.in, 3, 827612848 (789.27MB), 159627859 (152.23MB), 499, 312714687, 114, 33473560, 5737, 481424601
mahaagro.in, 13, 5730985936 (5.34GB), 3067160414 (2.86GB), 7478, 1419985623, 1326, 258633318, 51645, 4052366995
mfapartments.net, 2, 62786555 (59.88MB), 24569324 (23.43MB), 43, 50834002, 31, 11952553, 0, 0
oops.co.in, 4, 5641737 (5.38MB), 317058760 (302.37MB), 33, 5117323, 0, 0, 18, 524414
pranaav.com, 20, 1111321328 (1.03GB), 1667623838 (1.55GB), 4238, 472335769, 310, 172501415, 3975, 466484144
ptlinfotech.com, 6, 22132386 (21.11MB), 26001975 (24.80MB), 58, 6774106, 6, 12937461, 56, 2420819
rosaonline.org, 3, 4849191663 (4.52GB), 928308461 (885.30MB), 1833, 1517507434, 1115, 46069225, 3509, 3285615004
seahorseindia.co.in, 1, 7061201 (6.73MB), 15769095 (15.04MB), 130, 3041852, 7, 908274, 132, 3111075
sricomworld.com, 20, 802670664 (765.49MB), 530190162 (505.63MB), 4637, 390795845, 320, 81179864, 4354, 330694955
srimarine.com, 2, 414185848 (395.00MB), 12627235 (12.04MB), 824, 281640759, 19, 320029, 362, 132225060
tristarcontainer.co.in, 23, 6672038938 (6.21GB), 2429739712 (2.26GB), 20401, 2647929630, 5486, 769977161, 40358, 3254132147
vanmoppesindia.com, 32, 6690756726 (6.23GB), 15487697278 (14.42GB), 14942, 2090416181, 3019, 492456853, 81641, 4107883692
vimanindia.com, 17, 2423054530 (2.26GB), 26752715 (25.51MB), 10111, 1067846740, 1161, 160515257, 11534, 1194692533
vinshatech.com, 5, 184967 (180.63KB), 472577837 (450.69MB), 7, 184967, 0, 0, 0, 0
vtechsystems.com, 6, 362171622 (345.39MB), 4573215934 (4.26GB), 3564, 296225195, 45, 28671258, 1801, 37275169
