domain,ids,bandwidth,storage,incount,inbytes,outcount,outbytes,popcount,popbytes
agrowintl.in, 2, 28361 (27.70KB), 32768 (32.00KB), 0, 0, 2, 28361, 0, 0
alphaenter.net, 1, 405907088 (387.10MB), 4802452431 (4.47GB), 402, 177671257, 351, 56796630, 896, 171439201
bhavanssvvidyalaya.org, 2, 28120593 (26.82MB), 24024082 (22.91MB), 7, 794714, 18, 4222900, 7, 23102979
bhavantirupati.org, 2, 429013987 (409.14MB), 1653705842 (1.54GB), 617, 404542065, 31, 24471922, 0, 0
bullfreight.com, 1, 161937996 (154.44MB), 24221170 (23.10MB), 1262, 80489658, 134, 31764529, 515, 49683809
charirrfc.in, 1, 75514642 (72.02MB), 123600102 (117.87MB), 163, 75509718, 2, 4924, 0, 0
congressmedia.net, 41, 23215896 (22.14MB), 2324723162 (2.17GB), 76, 23215896, 0, 0, 0, 0
edelcap.com, 2151, 66077494395 (61.54GB), 0, 474528, 66077494395, 0, 0, 0, 0
enmail.com, 33, 97187322 (92.69MB), 9233710804 (8.60GB), 1282, 81268646, 296, 8954048, 263, 6964628
giftville.in, 4, 43901931 (41.87MB), 210121160 (200.39MB), 322, 42273331, 55, 1628600, 0, 0
harshitaassociates.com, 2, 389094082 (371.07MB), 182077489 (173.64MB), 537, 92670417, 486, 122576371, 880, 173847294
harvishpromark.com, 3, 77650 (75.83KB), 56184 (54.87KB), 3, 7463, 4, 66232, 1, 3955
hisdom.org, 1, 391608 (382.43KB), 1532302 (1.46MB), 21, 391608, 0, 0, 0, 0
infobasesystemms.com, 4, 2035809222 (1.90GB), 3308471497 (3.08GB), 858, 486330732, 1583, 557599058, 1735, 991879432
itapagro.com, 25, 4522401162 (4.21GB), 3220327714 (3.00GB), 14457, 1123900857, 474973, 2074563238, 16703, 1323937067
juseffex.com, 21, 1715731762 (1.60GB), 4613357074 (4.30GB), 2189, 422583129, 690, 100352531, 7321, 1192796102
kandhadai.com, 2, 133988870 (127.78MB), 48426543 (46.18MB), 6, 98560, 0, 0, 4793, 133890310
kinship-global.com, 1, 161550446 (154.07MB), 282251 (275.64KB), 544, 74464512, 75, 10539468, 542, 76546466
kllpl.org, 2, 2703506959 (2.52GB), 33740270 (32.18MB), 580, 275212338, 1863, 2096431589, 796, 331863032
lakshmicargo.net, 16, 516285045 (492.37MB), 988007429 (942.24MB), 1334, 111448216, 1357, 307351041, 1001, 97485788
learnyoga.org, 4, 115260989 (109.92MB), 155701365 (148.49MB), 425, 47694102, 11, 2914537, 429, 64652350
lfsindia.in, 3, 463700657 (442.22MB), 148707103 (141.82MB), 371, 151668930, 118, 44697499, 4837, 267334228
mahaagro.in, 15, 8509766519 (7.93GB), 3764012024 (3.51GB), 8453, 2052324152, 2103, 401278903, 56812, 6056163464
mfapartments.net, 1, 2750810 (2.62MB), 29264614 (27.91MB), 19, 2657843, 25, 92967, 0, 0
oops.co.in, 4, 5625685 (5.37MB), 321144940 (306.27MB), 30, 5443125, 0, 0, 9, 182560
pranaav.com, 20, 670466021 (639.41MB), 1624554069 (1.51GB), 3349, 321515969, 820, 42009454, 2913, 306940598
ptlinfotech.com, 6, 11545393 (11.01MB), 27967686 (26.67MB), 43, 5739017, 0, 0, 39, 5806376
rosaonline.org, 2, 8002131545 (7.45GB), 362679543 (345.88MB), 2543, 2023620672, 5908, 1174534767, 5935, 4803976106
seahorseindia.co.in, 1, 5934095 (5.66MB), 39323875 (37.50MB), 131, 2413938, 11, 1099359, 118, 2420798
sricomworld.com, 20, 587966771 (560.73MB), 902594628 (860.78MB), 5409, 289245603, 225, 42198962, 5562, 256522206
srimarine.com, 2, 445085538 (424.47MB), 9841442 (9.39MB), 905, 264826804, 87, 8309711, 445, 171949023
tristarcontainer.co.in, 22, 5965457047 (5.56GB), 4274718770 (3.98GB), 17437, 2508854868, 4142, 581385862, 29755, 2875216317
vanmoppesindia.com, 24, 6169793077 (5.75GB), 14516787026 (13.52GB), 14023, 1844245693, 2450, 569437124, 73639, 3756110260
vimanindia.com, 23, 2820162218 (2.63GB), 147537441 (140.70MB), 13702, 1196593191, 1087, 235788303, 15508, 1387780724
vinshatech.com, 5, 473873 (462.77KB), 507345183 (483.84MB), 32, 473873, 0, 0, 0, 0
vtechsystems.com, 6, 344519289 (328.56MB), 5073554940 (4.73GB), 4071, 308034383, 786, 7303958, 4870, 29180948
